City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,antigonish,45.6169,-61.9986,31.35,86,100,5.99,CA,1705424190
341,maceio,-9.6658,-35.7353,89.04,55,40,13.8,BR,1705424192
342,zhanibek,49.4167,46.85,29.55,88,100,26.19,KZ,1705424193
343,serdar,38.9764,56.2757,37.56,66,0,11.9,TM,1705424194
344,fortaleza,-3.7227,-38.5247,88.07,73,75,17.27,BR,1705424054
345,hirara,24.8,125.2833,64.67,68,100,10.36,JP,1705424195
346,jianguang,28.1938,115.7836,55.11,78,16,5.39,CN,1705424196
347,acapulco de juarez,16.8634,-99.8901,82.62,56,1,2.51,MX,1705424189
348,aken,50.7766,6.0834,30.92,78,24,1.99,DE,1705424198
349,wangaratta,-36.3667,146.3333,65.3,93,100,6.82,AU,1705424199
350,kingston,17.997,-76.7936,86.95,66,20,18.41,JM,1705423930
351,kununurra,-15.7667,128.7333,76.98,94,100,5.75,AU,1705424200
352,coquimbo,-29.9533,-71.3436,67.73,68,20,10.36,CL,1705424201
353,ataq,14.5377,46.8319,69.19,72,92,8.32,YE,1705424202
354,crucecita,-28.95,-58.9833,98.62,44,0,11.99,AR,1705424203
355,el nido,11.1858,119.3956,80.11,72,100,21.18,PH,1705424203
356,opuwo,-18.0607,13.84,74.8,33,100,15.61,NA,1705424204
357,torbat-e heydariyeh,35.274,59.2195,46.76,44,1,1.81,IR,1705424205
358,minas de marcona,-15.2119,-75.1103,72.79,58,86,13.27,PE,1705424206
359,meiktila,20.8667,95.8667,67.89,55,14,5.79,MM,1705424206
360,mount pearl,47.5166,-52.7813,30.15,65,9,8.01,CA,1705424007
361,labuan,5.2767,115.2417,80.96,83,20,1.14,MY,1705424208
362,lupiro,-8.3833,36.6667,73.27,93,96,2.24,TZ,1705424209
